10:04:11.680 [main] INFO  service.impl.ArrayArithmeticLogicWithStreamImpl - Start countPositiveValueOfArray()
10:04:11.683 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
10:04:11.683 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:04:11.683 [main] INFO  service.impl.ArrayArithmeticLogicWithStreamImpl - Array = CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
10:04:11.684 [main] INFO  service.impl.ArrayArithmeticLogicWithStreamImpl - Number positive elements of array = 4

10:04:11.684 [main] INFO  task.creator.CustomerArrayCreator - Start creating CustomArray
10:04:11.684 [main] INFO  task.creator.CustomerArrayCreator - CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
10:04:11.684 [main] INFO   - Array for sort  = CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
10:04:11.685 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start quick sort.
10:04:11.685 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
10:04:11.685 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:04:11.685 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
10:04:11.685 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start quick sort.
10:04:11.685 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, 8.0, 6.1, 1.3, 8.7, 9.6]
10:04:11.685 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:04:11.685 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[-1.8, 8.0, 6.1, 1.3, 8.7, 9.6]
10:04:11.685 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start quick sort.
10:04:11.686 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, 8.0, 6.1, 1.3, 8.7, 9.6]
10:04:11.686 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:04:11.686 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[-1.8, 8.0, 6.1, 1.3, 8.7, 9.6]
