10:07:14.996 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Number positive elements of array = 4

10:07:15.000 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Start ArrayLogic.findMaxValueOfArray()
10:07:15.000 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
10:07:15.000 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:07:15.000 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Array = CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
10:07:15.000 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Max value of array = 8.7

10:07:15.000 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
10:07:15.022 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:07:15.023 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Start ArrayLogic.findMinValueOfArray()
10:07:15.023 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Array = CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
10:07:15.023 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Min value of array = -1.8

10:07:15.023 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Start ArrayLogic.sumElementsOfArray()
10:07:15.023 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
10:07:15.023 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:07:15.023 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Array = CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
10:07:15.023 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Sum of array = 8.0

10:07:15.023 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Start findAverageValueOfArray()
10:07:15.023 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
10:07:15.023 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:07:15.023 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Array = CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
10:07:15.023 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Start ArrayLogic.sumElementsOfArray()
10:07:15.024 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
10:07:15.024 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:07:15.024 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Array = CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
10:07:15.024 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Sum of array = 8.0

10:07:15.024 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Average value of array = 1.3333333333333333

10:07:15.024 [main] INFO  service.impl.ArrayArithmeticLogicWithStreamImpl - Start ArrayLogic.exchangeNumberOfArrayToOtherNumber()
10:07:15.024 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
10:07:15.024 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:07:15.024 [main] INFO  service.impl.ArrayArithmeticLogicWithStreamImpl - Array = CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
