10:18:13.184 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[8.9]
10:18:13.185 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start sort by merge.
10:18:13.185 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[5.6, -8.0, -4.5, 1.2]
10:18:13.185 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:18:13.185 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[5.6, -8.0, -4.5, 1.2]
10:18:13.185 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start sort by merge.
10:18:13.185 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[5.6, -8.0]
10:18:13.185 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:18:13.186 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[5.6, -8.0]
10:18:13.186 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start sort by merge.
10:18:13.186 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[5.6]
10:18:13.186 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:18:13.186 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[5.6]
10:18:13.186 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start sort by merge.
10:18:13.186 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-8.0]
10:18:13.186 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:18:13.186 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[-8.0]
10:18:13.186 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start sort by merge.
10:18:13.186 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-4.5, 1.2]
10:18:13.186 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:18:13.186 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[-4.5, 1.2]
10:18:13.186 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start sort by merge.
10:18:13.186 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-4.5]
10:18:13.186 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:18:13.186 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[-4.5]
10:18:13.186 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start sort by merge.
10:18:13.186 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[1.2]
10:18:13.186 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:18:13.186 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[1.2]
10:18:13.187 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start sort by merge.
10:18:13.187 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[5.6, 4.8, -1.2, -6.3, -8.0, -5.0, 6.3, 5.7]
10:18:13.187 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:18:13.187 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[5.6, 4.8, -1.2, -6.3, -8.0, -5.0, 6.3, 5.7]
10:18:13.187 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start sort by merge.
10:18:13.187 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[5.6, 4.8, -1.2, -6.3]
10:18:13.187 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:18:13.187 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[5.6, 4.8, -1.2, -6.3]
10:18:13.187 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start sort by merge.
