22:03:11.932 [main] INFO  service.impl.ArrayArithmeticLogicImpl - New array = CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]

22:03:11.942 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Start countNegativeValueOfArray()
22:03:11.942 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
22:03:11.942 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
22:03:11.942 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Array = CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
22:03:11.942 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Number negative elements of array = 2

22:03:11.942 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Start countPositiveValueOfArray()
22:03:11.970 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
22:03:11.970 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
22:03:11.970 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Array = CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
22:03:11.970 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Number positive elements of array = 4

22:03:11.970 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Start ArrayLogic.findMaxValueOfArray()
22:03:11.970 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
22:03:11.970 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
22:03:11.970 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Array = CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
22:03:11.970 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Max value of array = 8.7

22:03:11.970 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
22:03:11.970 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
22:03:11.970 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Start ArrayLogic.findMinValueOfArray()
22:03:11.970 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Array = CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
22:03:11.970 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Min value of array = -1.8

22:03:11.970 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Start ArrayLogic.sumElementsOfArray()
22:03:11.970 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
22:03:11.970 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
22:03:11.970 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Array = CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
22:03:11.970 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Sum of array = 8.0

22:03:11.970 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Start findAverageValueOfArray()
22:03:11.970 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
22:03:11.970 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
22:03:11.970 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Array = CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
22:03:11.970 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Start ArrayLogic.sumElementsOfArray()
22:03:11.970 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
22:03:11.970 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
22:03:11.970 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Array = CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
22:03:11.970 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Sum of array = 8.0

22:03:11.970 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Average value of array = 1.3333333333333333

22:03:11.970 [main] INFO  service.impl.ArrayArithmeticLogicWithStreamImpl - Start ArrayLogic.exchangeNumberOfArrayToOtherNumber()
22:03:11.970 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
22:03:11.970 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
22:03:11.970 [main] INFO  service.impl.ArrayArithmeticLogicWithStreamImpl - Array = CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
22:03:11.981 [main] INFO  service.impl.ArrayArithmeticLogicWithStreamImpl - New array = [-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
22:03:11.981 [main] INFO  service.impl.ArrayArithmeticLogicWithStreamImpl - Start countNegativeValueOfArray()
22:03:11.981 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
22:03:11.982 [main] INFO  service.impl.ArrayArithmeticLogicWithStreamImpl - Array = CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
22:03:11.982 [main] INFO  service.impl.ArrayArithmeticLogicWithStreamImpl - Number negative elements of array = 2

22:03:11.982 [main] INFO  service.impl.ArrayArithmeticLogicWithStreamImpl - Start countPositiveValueOfArray()
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
22:03:11.982 [main] INFO  service.impl.ArrayArithmeticLogicWithStreamImpl - Array = CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
22:03:11.982 [main] INFO  service.impl.ArrayArithmeticLogicWithStreamImpl - Number positive elements of array = 4

22:03:11.982 [main] INFO  task.creator.CustomerArrayCreator - Start creating CustomArray
22:03:11.982 [main] INFO  task.creator.CustomerArrayCreator - CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
22:03:11.982 [main] INFO   - Array for sort  = CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
22:03:11.982 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start quick sort.
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
22:03:11.982 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
22:03:11.982 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start quick sort.
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, 8.0, 6.1, 1.3, 8.7, 9.6]
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
22:03:11.982 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[-1.8, 8.0, 6.1, 1.3, 8.7, 9.6]
22:03:11.982 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start quick sort.
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, 8.0, 6.1, 1.3, 8.7, 9.6]
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
22:03:11.982 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[-1.8, 8.0, 6.1, 1.3, 8.7, 9.6]
22:03:11.982 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start quick sort.
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, 1.3, 6.1, 8.0, 8.7, 9.6]
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
22:03:11.982 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[-1.8, 1.3, 6.1, 8.0, 8.7, 9.6]
22:03:11.982 [main] INFO   - Array after sort  = CustomerArray[-1.8, 1.3, 6.1, 8.0, 8.7, 9.6]

22:03:11.982 [main] INFO  task.creator.CustomerArrayCreator - Start creating CustomArray
22:03:11.982 [main] INFO  task.creator.CustomerArrayCreator - CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
22:03:11.982 [main] INFO   - Array for sort  = CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
22:03:11.982 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start sort by merge.
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
22:03:11.982 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
22:03:11.982 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start sort by merge.
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, 9.6, 8.7]
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
22:03:11.982 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[-1.8, 9.6, 8.7]
22:03:11.982 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start sort by merge.
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8]
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
22:03:11.982 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[-1.8]
22:03:11.982 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start sort by merge.
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[9.6, 8.7]
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
22:03:11.982 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[9.6, 8.7]
22:03:11.982 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start sort by merge.
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[9.6]
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
22:03:11.982 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[9.6]
22:03:11.982 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start sort by merge.
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[8.7]
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
22:03:11.982 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[8.7]
22:03:11.982 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start sort by merge.
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[1.3, 6.1, 8.0]
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
22:03:11.982 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[1.3, 6.1, 8.0]
22:03:11.982 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start sort by merge.
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[1.3]
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
22:03:11.982 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[1.3]
22:03:11.982 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start sort by merge.
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[6.1, 8.0]
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
22:03:11.982 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[6.1, 8.0]
22:03:11.982 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start sort by merge.
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[6.1]
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
